nose_k,left_eye_k,right_eye_k,left_ear,right_ear,left_shoulder,right_shoulder,left_elbow,right_elbow,left_wrist,right_wrist,left_hip,right_hip,left_knee,right_knee,left_ankle,right_ankle,eye1,eye2,nose,mouth,head,image_path,label
"(0.249721959233284, 0.6403430104255676)","(0.19996075332164764, 0.6364984512329102)","(0.20315535366535187, 0.6132171750068665)","(0.21654315292835236, 0.6267120242118835)","(0.20062395930290222, 0.5151610374450684)","(0.3644348978996277, 0.5357269048690796)","(0.3768511414527893, 0.5351427793502808)","(0.5146461725234985, 0.6796419024467468)","(0.5541029572486877, 0.7115036249160767)","(0.5344486236572266, 0.8116558194160461)","(0.6024854779243469, 0.8267065286636353)","(0.7716188430786133, 0.33740565180778503)","(0.7698014378547668, 0.32469502091407776)","(0.8425226211547852, 0.6370709538459778)","(0.8238035440444946, 0.5739073753356934)","(0.9287458658218384, 0.6007185578346252)","(0.9158828854560852, 0.6028936505317688)","(0.24769186973571777, 0.6168040037155151)","(0.2282213270664215, 0.8588224649429321)","(0.2776774764060974, 0.8024479746818542)","(0.3494075536727905, 0.8080031275749207)","(0.21012119948863983, 0.5582164525985718, 0.4194548726081848, 0.7138707041740417)",59_jpg.rf.b3de37d61a6e18ce9a14f0bcde5cf058.jpg,2
"(0.5878043174743652, 0.23559077084064484)","(0.5727434158325195, 0.22675104439258575)","(0.6066437363624573, 0.22271986305713654)","(0.553122341632843, 0.2626052498817444)","(0.6443622708320618, 0.24216225743293762)","(0.5590837597846985, 0.30715423822402954)","(0.6458746194839478, 0.3052637577056885)","(0.5219599008560181, 0.36315757036209106)","(0.6698073148727417, 0.3698127865791321)","(0.4806874394416809, 0.41302037239074707)","(0.6497412919998169, 0.3915767967700958)","(0.5293635129928589, 0.4566844403743744)","(0.6066967844963074, 0.4707193374633789)","(0.4831627309322357, 0.5136634707450867)","(0.570933997631073, 0.5349502563476562)","(0.4418691098690033, 0.6234113574028015)","(0.5002118349075317, 0.634079098701477)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(0.6451241374015808, 0.11394164711236954, 0.15289954841136932, 0.22788329422473907)",frame_333_png_jpg.rf.19fb9245584f37ef5c76b8289ae3fa04.jpg,1
"(0.12802724540233612, 0.5605284571647644)","(0.08463802188634872, 0.5249456167221069)","(0.08772172778844833, 0.6052306890487671)","(0.12290902435779572, 0.37173953652381897)","(0.11435117572546005, 0.6440547108650208)","(0.26611846685409546, 0.31943753361701965)","(0.29015788435935974, 0.660046398639679)","(0.385914146900177, 0.2511531412601471)","(0.40349245071411133, 0.8205496668815613)","(0.24999240040779114, 0.22830894589424133)","(0.26764029264450073, 0.7960313558578491)","(0.7410956621170044, 0.2671830356121063)","(0.776172935962677, 0.5686193704605103)","(0.7801164388656616, 0.3381909430027008)","(0.8628398180007935, 0.7495290637016296)","(0.9024211168289185, 0.3902871608734131)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(0.13406595587730408, 0.536349892616272, 0.2536412179470062, 0.2825912535190582)",Miku_04_JPG_jpg.rf.b116bb171b183cb5529516796b83112f.jpg,1
"(0.3028623163700104, 0.15301820635795593)","(0.27810341119766235, 0.13183359801769257)","(0.3873082995414734, 0.11579656600952148)","(0.28611400723457336, 0.160349041223526)","(0.6279117465019226, 0.12453541904687881)","(0.3776198923587799, 0.2847158908843994)","(0.6876281499862671, 0.2658948004245758)","(0.1460336148738861, 0.4079354405403137)","(0.8074377179145813, 0.39274996519088745)","(0.24259161949157715, 0.4747062623500824)","(0.880966305732727, 0.41389137506484985)","(0.4281684458255768, 0.6624356508255005)","(0.713093638420105, 0.6621255874633789)","(0.2177993357181549, 0.7514731287956238)","(0.6280072927474976, 0.803765594959259)","(0.3203947842121124, 0.9163801074028015)","(0.4733622670173645, 0.9456058740615845)","(0.42404595017433167, 0.12186934053897858)","(0.3170164227485657, 0.11665797233581543)","(0.36246800422668457, 0.1466895043849945)","(0.3825666904449463, 0.18579261004924774)","(0.46192866563796997, 0.12078195810317993, 0.37804505228996277, 0.2194211184978485)",27_jpg.rf.57d9afc09201d9940c9a71b3008d475e.jpg,1
"(0.5620454549789429, 0.1774044930934906)","(0.569254994392395, 0.20085081458091736)","(0.5712704658508301, 0.163364440202713)","(0.5694662928581238, 0.2544860243797302)","(0.5689765214920044, 0.15580368041992188)","(0.5383560061454773, 0.2807590365409851)","(0.5306519269943237, 0.16771860420703888)","(0.5602660179138184, 0.3189714252948761)","(0.5331205725669861, 0.11978304386138916)","(0.6088131666183472, 0.29078203439712524)","(0.5776673555374146, 0.07110796123743057)","(0.451216459274292, 0.3590767979621887)","(0.4464530050754547, 0.2467307299375534)","(0.4246447682380676, 0.39943695068359375)","(0.410485178232193, 0.26146167516708374)","(0.3570351004600525, 0.4179809093475342)","(0.361624538898468, 0.37148624658584595)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(0.5834044218063354, 0.20102253556251526, 0.12837114930152893, 0.12962208688259125)",baby32_jpg.rf.7f0f511ee4d080466d468de869f97330.jpg,1
"(0.8226584196090698, 0.6754443645477295)","(0.8615331649780273, 0.6313034892082214)","(0.852599024772644, 0.7210757732391357)","(0.8618457913398743, 0.5223663449287415)","(0.8507232666015625, 0.8080646395683289)","(0.7248884439468384, 0.47153109312057495)","(0.6931232213973999, 0.8101764917373657)","(0.6701977849006653, 0.3274594843387604)","(0.6260714530944824, 0.9529129862785339)","(0.744682788848877, 0.32918205857276917)","(0.6915160417556763, 0.977696418762207)","(0.3545162081718445, 0.43020352721214294)","(0.2956430912017822, 0.7300049066543579)","(0.32642531394958496, 0.3307393193244934)","(0.24803391098976135, 0.7890218496322632)","(0.16382089257240295, 0.41481447219848633)","(0.10671277344226837, 0.6055420637130737)","(0.8597061038017273, 0.5980938673019409)","(0.8463156819343567, 0.7286936044692993)","(0.8270098567008972, 0.6580310463905334)","(0.7889798879623413, 0.6481287479400635)","(0.8659197092056274, 0.6576312780380249, 0.2643436789512634, 0.3245810568332672)",50_jpg.rf.c9b29c58ea82c249d516b3aa4157cb78.jpg,1
"(0.7945238947868347, 0.6115190386772156)","(0.8195536732673645, 0.6507396101951599)","(0.8412233591079712, 0.6122969388961792)","(0.7866716384887695, 0.7077707052230835)","(0.8422322273254395, 0.5752125978469849)","(0.6518975496292114, 0.6089770197868347)","(0.7134156227111816, 0.5089308619499207)","(0.542169451713562, 0.5796070098876953)","(0.6566300988197327, 0.43092021346092224)","(0.5655337572097778, 0.5339828729629517)","(0.5705503821372986, 0.4361192286014557)","(0.3376709818840027, 0.38441258668899536)","(0.4125881791114807, 0.29979580640792847)","(0.25378793478012085, 0.34377098083496094)","(0.3955312669277191, 0.20235243439674377)","(0.17677950859069824, 0.21777382493019104)","(0.23463782668113708, 0.14855451881885529)","(0.837360680103302, 0.6888896226882935)","(0.8535282015800476, 0.5363880395889282)","(0.8098819851875305, 0.5849486589431763)","(-1, -1)","(0.834969699382782, 0.698200523853302, 0.3300606608390808, 0.5001590847969055)",baby33_jpg.rf.131663fee58af4e54f309021390828ad.jpg,2
"(0.3953845500946045, 0.2155647575855255)","(0.37723854184150696, 0.21006450057029724)","(0.3949246406555176, 0.18030914664268494)","(0.3843570053577423, 0.2891727089881897)","(0.4263433516025543, 0.22428467869758606)","(0.4618004262447357, 0.4496275782585144)","(0.5024343729019165, 0.3490746319293976)","(0.42977118492126465, 0.6997650861740112)","(0.5028678774833679, 0.4903545379638672)","(0.3374508321285248, 0.7898565530776978)","(0.38025152683258057, 0.5901723504066467)","(0.7036365866661072, 0.7490375638008118)","(0.7385130524635315, 0.6612452268600464)","(0.7556079030036926, 0.78871750831604)","(0.7879323363304138, 0.6919468641281128)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(0.31320124864578247, 0.24984876811504364, 0.4362039566040039, 0.3079845905303955)",Nanit_19_JPG_jpg.rf.4757a2da64de54d16eee1ac3e7823762.jpg,1
"(0.8088428378105164, 0.7152634859085083)","(0.8551605343818665, 0.7043706774711609)","(0.8318518400192261, 0.8075990676879883)","(0.8647144436836243, 0.6167009472846985)","(0.8060423731803894, 0.9026729464530945)","(0.7366833686828613, 0.43837642669677734)","(0.6361054182052612, 0.8293797373771667)","(0.6872752904891968, 0.25083693861961365)","(0.4871513247489929, 0.8856678009033203)","(0.7163609266281128, 0.32193511724472046)","(0.5020447969436646, 0.9360973238945007)","(0.3566403090953827, 0.14037355780601501)","(0.23070737719535828, 0.48695963621139526)","(0.3629114031791687, 0.01585826836526394)","(0.19715330004692078, 0.48178425431251526)","(0.18337419629096985, 0.04329562187194824)","(0.1081206351518631, 0.24581103026866913)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(0.8835755586624146, 0.8047409057617188, 0.22862529754638672, 0.38571470975875854)",3819_png_jpg.rf.9202eda2fca23809729897a87eefab3d.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",frame_10_11_png_jpg.rf.dfe9852d30643d3bca540afabf3616de.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(0.5185705423355103, 0.8845423460006714, 0.654814600944519, 0.22832432389259338)",Nanit_25_JPG_jpg.rf.419bde1d4b512b35cfb9764692fa3077.jpg,1
"(0.28143739700317383, 0.7076684236526489)","(0.2771684527397156, 0.7612566947937012)","(0.2571362555027008, 0.7464197278022766)","(0.3202718496322632, 0.8041458129882812)","(0.25494682788848877, 0.7171226739883423)","(0.39642512798309326, 0.6014829874038696)","(0.3338352143764496, 0.5677654147148132)","(0.5450528860092163, 0.4962462782859802)","(0.41263270378112793, 0.4749167561531067)","(0.5526245832443237, 0.6167645454406738)","(0.45523086190223694, 0.6725594997406006)","(0.5317562222480774, 0.17589934170246124)","(0.46186646819114685, 0.13524115085601807)","(0.5466688871383667, 0.17538604140281677)","(0.45466262102127075, 0.10642538219690323)","(0.47469788789749146, 0.06183676794171333)","(0.4472787380218506, 0.010077190585434437)","(0.31892818212509155, 0.7848721742630005)","(0.3631913661956787, 0.8445276021957397)","(0.3770792484283447, 0.8075049519538879)","(0.4276965260505676, 0.7653353810310364)","(0.31116533279418945, 0.7442849278450012, 0.2962806820869446, 0.3041999936103821)",Prone_1_jpg.rf.99a680fb26a3744ef1fa573a8970611d.jpg,2
"(0.1701160967350006, 0.44721555709838867)","(0.13867917656898499, 0.4131399095058441)","(0.13373494148254395, 0.49994760751724243)","(0.16766142845153809, 0.30505338311195374)","(0.14665408432483673, 0.5984276533126831)","(0.2815529406070709, 0.27299296855926514)","(0.2813425660133362, 0.6298664212226868)","(0.3526769280433655, 0.10575487464666367)","(0.3447025418281555, 0.8061460256576538)","(0.23840662837028503, 0.07047295570373535)","(0.2451612502336502, 0.8255513906478882)","(0.6815310716629028, 0.35630589723587036)","(0.694483757019043, 0.704559862613678)","(0.7257148027420044, 0.35973626375198364)","(0.775588870048523, 0.8379653692245483)","(0.8878962397575378, 0.5594834089279175)","(0.9255865812301636, 0.8006877899169922)","(-1, -1)","(-1, -1)","(-1, -1)","(0.22263094782829285, 0.3435719609260559)","(0.13468483090400696, 0.47004014253616333, 0.2451261729001999, 0.3553038537502289)",30_JPG_jpg.rf.eea6f41c46b700bd805020b0a7a14575.jpg,1
"(0.673852801322937, 0.1527300626039505)","(0.6928464770317078, 0.11006994545459747)","(0.6888564825057983, 0.11099491268396378)","(0.7539718747138977, 0.12733039259910583)","(0.7696335911750793, 0.11567890644073486)","(0.8654901385307312, 0.3240589201450348)","(0.840351402759552, 0.2864460349082947)","(0.6319451332092285, 0.498441219329834)","(0.6670370697975159, 0.40410059690475464)","(0.4094524383544922, 0.3935965895652771)","(0.41737478971481323, 0.29703664779663086)","(0.8764945268630981, 0.7717455625534058)","(0.8336724042892456, 0.7113329768180847)","(0.6380872130393982, 0.8073329925537109)","(0.627228319644928, 0.7474115490913391)","(-1, -1)","(0.5713553428649902, 0.8826385736465454)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(0.8028696775436401, 0.15143437683582306, 0.3938310742378235, 0.2955116331577301)",baby21_jpg.rf.9df0f3c1ff30590c34e9f608544faba1.jpg,2
"(0.6609403491020203, 0.2830940783023834)","(0.6701860427856445, 0.27076566219329834)","(0.6460860371589661, 0.26679521799087524)","(0.707210898399353, 0.2833808362483978)","(0.6304313540458679, 0.2823452353477478)","(0.7332816123962402, 0.350212424993515)","(0.6420373916625977, 0.35243430733680725)","(0.8090198636054993, 0.3882395327091217)","(0.5838771462440491, 0.3986058831214905)","(0.8826260566711426, 0.3378358483314514)","(0.5419026613235474, 0.31110769510269165)","(0.7726527452468872, 0.5819557905197144)","(0.6748452186584473, 0.5912619829177856)","(0.7964118719100952, 0.6985282897949219)","(0.6741267442703247, 0.6987756490707397)","(0.7685915231704712, 0.8182757496833801)","(0.7015953063964844, 0.8229879140853882)","(0.6840667128562927, 0.26462721824645996)","(0.6447134017944336, 0.26965099573135376)","(0.6643133163452148, 0.2871994376182556)","(0.6633592844009399, 0.31839582324028015)","(0.681455135345459, 0.2509702146053314, 0.12144394218921661, 0.20102033019065857)",42_jpg.rf.9ed96283baa605cb2709f95a175ed146.jpg,1
"(0.8415858149528503, 0.5764662623405457)","(0.8768051266670227, 0.6375817060470581)","(0.8963313102722168, 0.5408409833908081)","(0.8471048474311829, 0.7689616084098816)","(0.8993724584579468, 0.4881622791290283)","(0.6617270708084106, 0.788752555847168)","(0.6822682619094849, 0.4260994791984558)","(0.6130930185317993, 0.9270206689834595)","(0.6425996422767639, 0.2881053388118744)","(0.7627335786819458, 0.8482550382614136)","(0.732981264591217, 0.30378833413124084)","(0.17979249358177185, 0.749970555305481)","(0.18798044323921204, 0.40126389265060425)","(0.14355874061584473, 0.7609788179397583)","(0.14024272561073303, 0.36229753494262695)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(0.8585686683654785, 0.6171239614486694)","(0.8570652008056641, 0.7227298021316528, 0.28586965799331665, 0.49879035353660583)",5_jpg.rf.44fbf79ebd5e9fdcfd60eb6ba72988f1.jpg,2
"(0.7572427988052368, 0.11124427616596222)","(0.7519181966781616, 0.07953622192144394)","(0.8047211766242981, 0.1367862969636917)","(0.7144814729690552, 0.10904650390148163)","(0.8498004674911499, 0.26041457056999207)","(0.6639682054519653, 0.21371908485889435)","(0.7738111615180969, 0.39613866806030273)","(0.4918883442878723, 0.13622383773326874)","(0.7198901176452637, 0.5425598621368408)","(0.5070406198501587, 0.04814634472131729)","(0.6436346769332886, 0.528864860534668)","(0.41135889291763306, 0.5538691282272339)","(0.5085358619689941, 0.7587095499038696)","(0.20288360118865967, 0.4530453085899353)","(0.34318292140960693, 0.7270902991294861)","(0.13841204345226288, 0.6956595182418823)","(0.1897197961807251, 0.8176382184028625)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(0.8623186349868774, 0.27200278639793396, 0.2753628194332123, 0.32552090287208557)",53_JPG_jpg.rf.66f84e7b54e1cc9c2ff4d3d438e0fc84.jpg,2
"(0.8482133746147156, 0.33917683362960815)","(0.8682036399841309, 0.3323933482170105)","(0.8864606618881226, 0.3171788156032562)","(0.8211822509765625, 0.3404231369495392)","(0.8661788105964661, 0.2648504972457886)","(0.662630558013916, 0.3700612187385559)","(0.7002957463264465, 0.30997225642204285)","(0.553953230381012, 0.40692824125289917)","(0.6323219537734985, 0.3169877529144287)","(0.6124897003173828, 0.2057640254497528)","(0.5988010764122009, 0.16952399909496307)","(0.24286165833473206, 0.5926048159599304)","(0.2666490972042084, 0.5399801731109619)","(0.17151737213134766, 0.727057158946991)","(0.21429038047790527, 0.6943720579147339)","(0.04553193971514702, 0.8216748237609863)","(0.05718178674578667, 0.8741691708564758)","(0.8491693735122681, 0.3180333375930786)","(-1, -1)","(0.8442403674125671, 0.3640579581260681)","(0.8131977915763855, 0.38120463490486145)","(0.8133934140205383, 0.27390530705451965, 0.2918258607387543, 0.29245877265930176)",13_JPG_jpg.rf.3213e00bcc1d920f4597890aa65cd19c.jpg,1
"(0.5600847005844116, 0.5988249778747559)","(0.5759711265563965, 0.6056729555130005)","(0.5793017148971558, 0.5861595869064331)","(0.573839008808136, 0.6293752193450928)","(0.5793201923370361, 0.5743333101272583)","(0.5149238109588623, 0.6262655258178711)","(0.5248554348945618, 0.5895086526870728)","(0.4652581214904785, 0.6578456163406372)","(0.4763410985469818, 0.5900903344154358)","(0.4269745349884033, 0.6133102178573608)","(0.4206365644931793, 0.545775830745697)","(0.3883468508720398, 0.5893089771270752)","(0.400132417678833, 0.5569401979446411)","(0.35334256291389465, 0.5681663751602173)","(0.37393084168434143, 0.5202805399894714)","(0.28254252672195435, 0.5273188948631287)","(0.2947174608707428, 0.4953705370426178)","(0.5817685723304749, 0.6267382502555847)","(-1, -1)","(-1, -1)","(-1, -1)","(0.08406801521778107, 0.4987615644931793, 0.16542235016822815, 0.20421771705150604)",09938C45-03C8-443F-B8C5-DEB2D6CB3146_JPG_jpg.rf.a8d85066ebac4e2c02aff66a834e978c.jpg,1
"(0.47218236327171326, 0.4846011698246002)","(0.46362847089767456, 0.5108884572982788)","(0.45364910364151, 0.4739384651184082)","(0.47556471824645996, 0.565068244934082)","(0.45051708817481995, 0.4681352972984314)","(0.5235315561294556, 0.5727882981300354)","(0.5040154457092285, 0.4661208689212799)","(0.5330118536949158, 0.60863196849823)","(0.5002527236938477, 0.42896848917007446)","(0.5085671544075012, 0.5720805525779724)","(0.4615935683250427, 0.39943110942840576)","(0.6839836835861206, 0.5893634557723999)","(0.6632872223854065, 0.49254217743873596)","(0.7309311628341675, 0.6043881177902222)","(0.7068638801574707, 0.47122296690940857)","(0.8164787292480469, 0.6105996370315552)","(0.7956269383430481, 0.550340473651886)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(0.4528783857822418, 0.5180782079696655, 0.10258980095386505, 0.13349056243896484)",27_jpg.rf.c6a0ada446ce0b1de40d41e080153e8c.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(0.8902376890182495, 0.5889132618904114)","(0.874579906463623, 0.6169967651367188)","(0.8087396621704102, 0.516751766204834)","(0.7889262437820435, 0.5264910459518433)","(0.8215216398239136, 0.3137895464897156)","(0.7736170887947083, 0.34917616844177246)","(0.9035547971725464, 0.2590635418891907)","(0.8565528988838196, 0.3479275107383728)","(0.46800994873046875, 0.3376387655735016)","(0.4379187226295471, 0.34742188453674316)","(0.3469000458717346, 0.2168097198009491)","(0.28854402899742126, 0.20081064105033875)","(0.13746652007102966, 0.16539326310157776)","(0.1204218864440918, 0.13839690387248993)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(0.8774003982543945, 0.7506600618362427, 0.24519920349121094, 0.47760897874832153)",Cubo_07_JPG_jpg.rf.43801e4b5366c6315a7528a9adc455f0.jpg,2
"(0.3759947419166565, 0.2809274196624756)","(0.35970428586006165, 0.23918351531028748)","(0.37236958742141724, 0.2491295337677002)","(0.38306301832199097, 0.28268855810165405)","(0.3886670172214508, 0.2882646918296814)","(0.4557832181453705, 0.4427627623081207)","(0.4690984785556793, 0.4741937518119812)","(0.5079031586647034, 0.6532560586929321)","(0.5088430643081665, 0.6608594059944153)","(0.48449015617370605, 0.628073513507843)","(0.4488118290901184, 0.6067579388618469)","(0.5776228904724121, 0.7203196287155151)","(0.5900542140007019, 0.7390404343605042)","(0.5515649318695068, 0.752371072769165)","(0.5817161798477173, 0.7579549551010132)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(0.3998446464538574, 0.20726840198040009, 0.4792996346950531, 0.3375576138496399)",Nanit_37_JPG_jpg.rf.70169b089bffe55f5157f1b6149986a9.jpg,1
"(0.6153847575187683, 0.12289867550134659)","(0.6451208591461182, 0.1008627638220787)","(0.6474730968475342, 0.10513176769018173)","(0.7009426951408386, 0.14871180057525635)","(0.7223528623580933, 0.15376520156860352)","(0.7202654480934143, 0.2540723383426666)","(0.7028319239616394, 0.26251712441444397)","(0.5815030336380005, 0.3830263912677765)","(0.6084799766540527, 0.4197288453578949)","(0.45695623755455017, 0.503990650177002)","(0.4814728796482086, 0.5321311950683594)","(0.6521768569946289, 0.6346074938774109)","(0.6130499243736267, 0.6434392929077148)","(0.5514730215072632, 0.722490668296814)","(0.4781966805458069, 0.7488989233970642)","(0.4303824305534363, 0.880283534526825)","(0.4169164299964905, 0.9135971069335938)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(0.7343410849571228, 0.1284862458705902, 0.3607102334499359, 0.2534184455871582)",2363_png_jpg.rf.f553c55af0ba7131f369c385b769659b.jpg,2
"(0.49412068724632263, 0.21100692451000214)","(0.5821731090545654, 0.17153966426849365)","(0.48683053255081177, 0.1774766743183136)","(0.7477351427078247, 0.18082460761070251)","(0.5677751898765564, 0.1725383698940277)","(0.8564014434814453, 0.2968839406967163)","(0.5644375085830688, 0.2882961630821228)","(0.7808551788330078, 0.4375319480895996)","(0.35050541162490845, 0.4165797233581543)","(0.6518818140029907, 0.442298948764801)","(0.283658504486084, 0.37799209356307983)","(0.9004640579223633, 0.6960843801498413)","(0.5744523406028748, 0.6571084856987)","(0.7866039276123047, 0.7906721830368042)","(0.3703133761882782, 0.7334410548210144)","(0.6508147120475769, 0.9652725458145142)","(0.54024338722229, 0.8889702558517456)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(0.7160412073135376, 0.18148678541183472, 0.528056263923645, 0.30017635226249695)",Sideways_204_jpg.rf.c01dc4ca03e83f54933b35646e60af21.jpg,1
"(0.49761539697647095, 0.3758164048194885)","(0.48669910430908203, 0.3660968244075775)","(0.4827210307121277, 0.3658164441585541)","(0.461402028799057, 0.37636885046958923)","(0.44629135727882385, 0.37597277760505676)","(0.4297691881656647, 0.4352477490901947)","(0.43373408913612366, 0.4406096935272217)","(0.5048061609268188, 0.45800065994262695)","(0.4980201721191406, 0.47676515579223633)","(0.569430410861969, 0.4260597229003906)","(0.5776392221450806, 0.43970346450805664)","(0.4501476287841797, 0.5650091171264648)","(0.4593009948730469, 0.5649868845939636)","(0.5578428506851196, 0.5537331104278564)","(0.5618016123771667, 0.5534330010414124)","(0.6339935660362244, 0.6144521236419678)","(0.6337095499038696, 0.5911851525306702)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(0.43527093529701233, 0.374688059091568, 0.1152944564819336, 0.09110812842845917)",baby21_jpg.rf.16b5f76cb1f4f9218ade8064af5d3eb0.jpg,1
"(0.40524014830589294, 0.2815282940864563)","(0.4042636454105377, 0.2630438804626465)","(0.44303685426712036, 0.25083720684051514)","(0.4590221047401428, 0.30035001039505005)","(0.5791458487510681, 0.2644718289375305)","(0.5529424548149109, 0.43905362486839294)","(0.6416033506393433, 0.392069011926651)","(0.450090229511261, 0.5649968385696411)","(0.6790065765380859, 0.4828565716743469)","(0.43828001618385315, 0.6118444204330444)","(0.6741625666618347, 0.5227299332618713)","(0.6299741864204407, 0.8027505874633789)","(0.6877915263175964, 0.756354033946991)","(0.5037156343460083, 0.8259261846542358)","(0.5713038444519043, 0.8190949559211731)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(0.557569682598114, 0.24093171954154968, 0.35867881774902344, 0.1960173100233078)",frame_15_2_png_jpg.rf.f827693ff6b70880ab7ea81c33acde96.jpg,2
"(0.5955056548118591, 0.3928651809692383)","(0.6403754949569702, 0.38984444737434387)","(0.6366028189659119, 0.40320712327957153)","(0.663186252117157, 0.35607069730758667)","(0.6425771713256836, 0.41955095529556274)","(0.5033613443374634, 0.35225990414619446)","(0.4514482915401459, 0.5417037606239319)","(0.45707303285598755, 0.2530718743801117)","(0.3266572952270508, 0.5070435404777527)","(0.492664098739624, 0.18647411465644836)","(0.2883705496788025, 0.4105760455131531)","(0.3594573736190796, 0.39532139897346497)","(0.2992434501647949, 0.5871249437332153)","(0.38496825098991394, 0.35933199524879456)","(0.3125153183937073, 0.6191807389259338)","(0.3026124835014343, 0.4256911873817444)","(-1, -1)","(0.09931356459856033, 0.6677600145339966)","(-1, -1)","(-1, -1)","(-1, -1)","(0.09962726384401321, 0.5856621861457825, 0.19925452768802643, 0.3801853358745575)",24_JPG_jpg.rf.f76a0c6cc0a0e120209a12b07e391a13.jpg,1
"(0.3029281795024872, 0.4494956135749817)","(0.2711085379123688, 0.4453749656677246)","(0.27804088592529297, 0.4100654721260071)","(0.2810308337211609, 0.4287412166595459)","(0.2920279800891876, 0.32127565145492554)","(0.399538516998291, 0.3845340609550476)","(0.41718894243240356, 0.3291822671890259)","(0.4525364339351654, 0.46409130096435547)","(0.476187139749527, 0.39184117317199707)","(0.40369558334350586, 0.4594271779060364)","(0.42894047498703003, 0.42667800188064575)","(0.6476141214370728, 0.3391270041465759)","(0.6671010255813599, 0.29359763860702515)","(0.6995997428894043, 0.4248288571834564)","(0.7232617139816284, 0.39802002906799316)","(0.8025798797607422, 0.3732096254825592)","(0.8193548321723938, 0.37793034315109253)","(0.27953535318374634, 0.4723869264125824)","(0.26962003111839294, 0.40113359689712524)","(0.29296526312828064, 0.42796140909194946)","(-1, -1)","(0.2639944553375244, 0.43620070815086365, 0.18701902031898499, 0.19240567088127136)",72_jpg.rf.8a7e35141b8125b3bed45951bfd19e32.jpg,1
"(0.40963783860206604, 0.6428788900375366)","(0.3907310962677002, 0.6532184481620789)","(0.39213672280311584, 0.6115518808364868)","(0.418908029794693, 0.6849502921104431)","(0.41407471895217896, 0.5593396425247192)","(0.528623640537262, 0.6734633445739746)","(0.5179159045219421, 0.5560487508773804)","(0.621263861656189, 0.7569476366043091)","(0.5978716015815735, 0.5313712358474731)","(0.6445473432540894, 0.6842566728591919)","(0.6579002141952515, 0.49635618925094604)","(0.7397488951683044, 0.5622118711471558)","(0.7190672755241394, 0.44131413102149963)","(0.7914111018180847, 0.5144897699356079)","(0.7640664577484131, 0.3866081237792969)","(0.8718547821044922, 0.3872736096382141)","(0.875507652759552, 0.33156606554985046)","(0.39179137349128723, 0.6117187738418579)","(-1, -1)","(0.3916080892086029, 0.6265401840209961)","(0.41103944182395935, 0.6595537066459656)","(0.412780225276947, 0.5537737607955933, 0.14433518052101135, 0.23892974853515625)",baby15_jpg.rf.a94d1350e6b761c79255187a9a577044.jpg,1
